,R_ADD,R_AHO,R_AIG,R_AKD,R_ALT,R_AMN,R_AOC,R_AQE,R_ARN,R_ASY,R_AYH,R_BBF,R_BBV,R_BDH,R_BEU,R_BMW,R_BYR,R_CAB,R_CAM,R_CBX,R_CEE,R_CGI,R_CHI,R_CHP,R_CIV,R_CKB,R_CLV,R_CNY,R_CQD,R_CSZ,R_CUE,R_CWH,R_DBF,R_DEE,R_DFC,R_DGB,R_DHT,R_DIU,R_DKC,R_DLA,R_DLC,R_DPC,R_DQL,R_DQU,R_DTF,R_DTW,R_DVP,R_DYR,R_DZN,R_EBY
R_CUE,4.93295739348371,1.9486215538847116,2.557017543859649,2.137218045112782,7.589473684210526,5.198830409356725,3.7263157894736842,5.621052631578947,4.36390977443609,2.329824561403509,1.118421052631579,1.1909774436090226,2.982456140350877,8.631578947368421,2.177631578947368,5.135087719298245,5.964912280701754,2.543859649122807,1.4754835807467386,8.477443609022556,3.291722896986055,3.2850877192982457,2.068421052631579,3.855263157894737,2.968421052631579,2.529824561403509,3.3684210526315788,0.9526315789473685,2.7969924812030076,2.8070175438596494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_CWH,3.4682539682539684,6.319444444444445,8.833333333333332,5.365079365079366,4.355555555555556,5.055555555555555,9.155555555555555,5.2444444444444445,2.9571428571428573,7.855555555555556,5.027777777777778,6.6269841269841265,4.611111111111111,5.0,6.402777777777779,3.3333333333333335,4.166666666666666,5.944444444444445,5.282051282051282,5.063492063492063,10.431623931623932,3.9444444444444446,7.5,4.055555555555555,6.811111111111112,5.811111111111111,7.722222222222223,5.2444444444444445,3.9682539682539684,10.690476190476192,6.381578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_DBF,8.19047619047619,9.267857142857142,8.511111111111111,5.309523809523808,7.033333333333334,5.777777777777778,3.625,3.4916666666666667,9.178571428571429,6.158333333333334,3.4888888888888894,3.863095238095238,5.675,5.725,2.333333333333333,6.499999999999999,6.958333333333332,6.0,1.9423076923076923,13.635714285714286,2.1170940170940176,8.983333333333333,6.816666666666666,7.583333333333333,4.408333333333333,4.741666666666667,2.4583333333333335,3.366666666666667,5.535714285714286,3.25,4.7368421052631575,10.469444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_DEE,3.238095238095238,4.839285714285714,6.555555555555555,4.198412698412699,6.9523809523809526,6.253968253968253,7.0476190476190474,4.857142857142858,2.761904761904762,4.366666666666667,3.6666666666666665,5.457142857142857,2.321428571428571,7.761904761904762,4.321428571428571,2.9380952380952383,5.5,5.309523809523809,4.402930402930402,2.2142857142857144,5.534798534798535,3.4583333333333335,4.333333333333334,3.7261904761904763,5.0,3.7142857142857144,8.30952380952381,3.4047619047619047,1.5,8.547619047619047,5.728070175438597,4.309523809523809,8.708333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_DFC,5.720238095238096,2.875,3.125,2.111111111111111,8.166666666666666,6.444444444444445,5.158333333333333,5.8,5.041666666666667,0.65,2.805555555555556,2.6964285714285716,3.8750000000000004,8.958333333333332,2.958333333333333,4.5,6.499999999999999,4.083333333333334,2.463675213675214,7.654761904761904,3.3803418803418803,4.666666666666667,2.2083333333333335,3.946428571428571,2.3083333333333336,3.316666666666667,3.4583333333333335,1.8833333333333333,2.2857142857142856,2.8095238095238093,2.232456140350877,7.722222222222221,6.125,4.142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_DGB,12.941666666666666,5.845238095238096,4.819444444444444,5.227777777777778,12.616666666666665,11.866666666666665,5.883333333333334,9.799999999999999,9.684523809523808,2.575,5.536111111111111,6.65,8.283333333333333,12.325000000000001,6.4,12.274999999999999,10.591666666666667,8.375,4.596581196581196,13.089285714285715,2.102136752136752,7.541666666666666,4.525,7.642857142857142,5.550000000000001,7.408333333333334,5.775,6.4,7.875,3.4226190476190474,4.268421052631579,12.097222222222223,4.583333333333334,10.892857142857142,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_DHT,6.558333333333334,2.488095238095238,4.236111111111111,0.8611111111111112,6.141666666666667,5.822222222222223,2.341666666666667,4.875,4.273809523809524,1.758333333333333,1.5694444444444444,1.4,2.8333333333333335,8.0,1.875,5.675000000000001,5.541666666666667,5.0,2.0042735042735043,7.607142857142858,1.9901709401709402,3.333333333333333,1.65,2.857142857142857,3.0,2.933333333333333,2.625,1.25,3.625,2.5892857142857144,1.3026315789473684,6.986111111111111,1.9166666666666665,4.982142857142858,1.9166666666666665,5.324999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_DIU,7.166666666666667,2.663095238095238,4.111111111111111,1.2468253968253968,6.466666666666668,5.8,2.1666666666666665,5.0,4.40952380952381,1.8333333333333333,1.9444444444444444,1.9,3.5166666666666666,8.2,2.45,5.8,6.066666666666666,4.8,1.61025641025641,7.642857142857143,1.6641025641025642,3.316666666666667,1.5499999999999998,2.807142857142857,3.2,2.966666666666667,2.6,1.85,3.5,2.1809523809523808,0.9526315789473685,7.066666666666666,1.7666666666666666,5.557142857142857,1.6166666666666665,4.9,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_DKC,6.298412698412698,6.972222222222221,7.8,3.2222222222222223,2.5777777777777775,1.0888888888888888,3.3777777777777778,2.416666666666667,6.566666666666666,5.022222222222222,2.7111111111111112,2.5317460317460316,3.488888888888889,2.488888888888889,1.6944444444444444,4.805555555555555,1.6111111111111112,7.194444444444445,3.1965811965811968,8.365079365079364,4.4683760683760685,6.113888888888889,5.1722222222222225,3.603174603174603,4.955555555555556,5.5777777777777775,1.9222222222222223,3.155555555555556,4.5476190476190474,4.555555555555555,3.7801169590643275,6.522222222222222,3.1527777777777777,4.492063492063492,5.533333333333334,6.438888888888889,2.361111111111111,2.7055555555555553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_DLA,7.875,8.416666666666666,10.005555555555556,4.458333333333334,3.45,2.5666666666666664,4.7,4.3,8.033333333333333,7.25,3.594444444444444,4.0,4.816666666666666,3.25,2.375,6.75,1.6666666666666665,9.916666666666666,4.548076923076923,10.614285714285714,4.492307692307692,7.4,6.65,5.309523809523809,6.9,7.45,3.35,4.15,6.857142857142858,6.488095238095238,4.715789473684211,6.419444444444444,4.7,6.309523809523809,7.316666666666666,7.575,4.25,4.4,1.961111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_DLC,2.4603174603174605,4.222222222222222,7.583333333333334,3.4206349206349205,4.511111111111111,5.111111111111111,4.155555555555556,2.4,2.2726190476190475,3.8666666666666663,2.9166666666666665,4.095238095238095,2.944444444444444,5.166666666666667,3.916666666666666,0.8333333333333333,5.166666666666667,2.9444444444444446,3.1196581196581197,4.353174603174604,7.076923076923077,2.7222222222222223,4.111111111111111,2.6666666666666665,3.3,2.966666666666667,4.5,2.7666666666666666,1.5714285714285714,7.111111111111111,3.8201754385964914,3.6944444444444446,6.977777777777778,2.3333333333333335,3.944444444444444,7.791666666666666,3.583333333333333,3.4,4.111111111111111,6.261111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_DPC,2.8744588744588744,6.249458874458875,9.031024531024531,5.474025974025974,4.680952380952381,5.082972582972583,8.913419913419913,4.767532467532467,2.9856060606060604,7.41082251082251,4.944805194805195,6.235930735930735,4.159090909090909,5.2229437229437226,5.79491341991342,2.8744588744588744,4.045454545454545,5.4437229437229435,5.133255633255634,5.0,11.275641025641026,3.857142857142857,7.577922077922078,4.0189393939393945,6.753246753246753,6.216450216450216,7.378787878787879,5.261471861471861,4.088744588744589,10.396103896103897,6.352358168147642,0.654040404040404,10.002922077922078,3.9372294372294374,8.283549783549782,11.156385281385283,6.503246753246753,6.320779220779221,6.6737373737373735,6.653030303030303,3.755050505050505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_DQL,1.438961038961039,3.409090909090909,5.317460317460317,2.958152958152958,5.5476190476190474,7.345454545454546,5.828571428571428,3.4415584415584415,2.470779220779221,3.6935064935064936,2.041847041847042,4.136363636363637,2.316017316017316,6.532467532467534,4.7727272727272725,1.4707792207792207,4.829004329004329,2.62012987012987,3.36013986013986,2.974025974025974,6.305672105672105,1.9512987012987013,2.8490259740259742,3.0487012987012987,3.274891774891775,2.374025974025974,4.9714285714285715,3.188311688311688,2.2435064935064934,6.7402597402597415,2.8995215311004783,3.1529581529581527,6.545454545454545,2.064935064935065,3.5351731601731604,9.332467532467533,4.431818181818182,4.340909090909091,6.292929292929292,8.09090909090909,0.8643578643578643,2.653679653679654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_DQU,5.185714285714286,0.8928571428571427,2.7777777777777777,2.4365079365079367,8.1,7.733333333333334,6.2,7.2,4.2404761904761905,3.2,3.488888888888889,4.507142857142857,3.5833333333333335,9.9,5.5,4.5,10.5,3.0833333333333335,2.170940170940171,4.371428571428571,4.092307692307692,2.416666666666667,0.8500000000000001,5.059523809523809,3.1,2.2666666666666666,6.966666666666667,3.6,3.0476190476190474,4.4523809523809526,2.663157894736842,5.733333333333333,6.2,3.2142857142857144,2.4833333333333334,6.95,3.75,3.95,6.1722222222222225,8.9,2.477777777777778,6.137229437229437,2.675324675324675,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_DTF,9.802380952380954,4.232142857142858,4.9222222222222225,2.7896825396825395,8.233333333333334,6.166666666666667,2.6333333333333333,6.55,7.503571428571429,2.5,4.761111111111111,4.3,4.566666666666666,9.9,3.625,8.3,7.666666666666667,8.583333333333332,2.681623931623932,9.9,0.46495726495726497,6.116666666666667,3.0999999999999996,3.8452380952380953,3.4166666666666665,4.433333333333334,4.25,5.483333333333333,6.166666666666667,2.238095238095238,3.360526315789474,9.544444444444444,2.8666666666666667,6.845238095238095,2.175,3.0,2.75,2.9,4.633333333333333,5.35,5.7444444444444445,9.126406926406927,6.646103896103896,6.7,0.0,0.0,0.0,0.0,0.0,0.0
R_DTW,2.6214285714285714,4.154761904761905,5.555555555555556,4.222222222222222,5.166666666666667,5.155555555555556,6.533333333333334,4.2,1.8023809523809522,4.966666666666667,4.133333333333333,5.007142857142857,2.4833333333333334,7.1,4.75,2.8,6.666666666666667,5.5,5.064102564102564,1.6785714285714284,5.856410256410256,2.175,4.625,2.357142857142857,5.366666666666667,3.866666666666667,6.666666666666667,4.866666666666666,2.0595238095238093,7.261904761904762,5.278947368421052,4.033333333333333,6.95,0.47619047619047616,4.7,11.75,5.75,6.2,4.405555555555556,6.4,2.1555555555555554,3.7692640692640693,2.1168831168831166,4.65,8.733333333333334,0.0,0.0,0.0,0.0,0.0
R_DVP,4.704761904761904,2.755952380952381,3.9444444444444446,4.061904761904763,9.833333333333332,9.888888888888888,8.2,8.5,3.9345238095238093,4.566666666666667,4.511111111111111,6.050000000000001,5.7333333333333325,12.0,7.375,4.216666666666667,9.8,3.2666666666666666,4.512820512820513,3.3785714285714286,7.220512820512821,3.291666666666667,3.25,5.845238095238095,4.366666666666667,3.6,8.266666666666666,4.95,4.214285714285714,7.690476190476191,3.0736842105263156,6.611111111111111,8.966666666666667,3.7142857142857144,4.0,8.175,6.449999999999999,6.050000000000001,9.055555555555555,12.2,3.583333333333333,6.753246753246753,3.1136363636363638,2.1,8.1,4.45,0.0,0.0,0.0,0.0
R_DYR,3.732142857142857,2.071428571428571,4.357142857142858,2.111111111111111,8.70357142857143,7.017857142857142,6.998809523809524,6.078571428571429,3.8642857142857143,2.9571428571428573,2.556349206349206,2.8607142857142858,3.4392857142857145,8.65,3.807142857142857,3.55,7.210714285714285,2.2940476190476193,2.7489316239316235,5.107142857142857,5.489316239316239,3.2797619047619047,1.2035714285714287,5.458333333333333,2.8464285714285715,2.9333333333333336,5.058333333333334,1.8785714285714286,1.8821428571428571,5.613095238095238,2.0593984962406013,6.236111111111112,8.709523809523809,3.4154761904761908,2.875,5.767857142857142,2.4964285714285714,2.3964285714285714,6.394444444444445,8.4,3.880952380952381,6.60551948051948,2.616883116883117,0.9357142857142857,4.5321428571428575,3.2392857142857143,1.9535714285714287,0.0,0.0,0.0
R_DZN,5.238095238095238,2.7142857142857144,3.083333333333333,3.071428571428571,7.966666666666667,7.233333333333333,4.133333333333333,6.15,4.5285714285714285,3.466666666666667,3.75,3.057142857142857,4.916666666666666,9.55,4.675,5.3,9.916666666666668,2.283333333333333,1.5435897435897434,10.392857142857142,3.8243589743589745,4.041666666666667,3.4749999999999996,4.9226190476190474,2.9,2.3666666666666667,3.8333333333333335,3.15,3.3785714285714286,2.833333333333333,3.263157894736842,6.555555555555555,3.475,6.904761904761905,3.166666666666667,5.4,2.975,2.8,4.866666666666667,7.725,4.333333333333333,7.093073593073592,3.4,3.35,5.183333333333334,6.7,4.3,3.1285714285714286,0.0,0.0
R_EBY,3.5833333333333335,2.363095238095238,2.6249999999999996,3.0238095238095237,8.191666666666666,8.844444444444445,5.475,6.625,3.142857142857143,4.475,3.5,2.575,3.833333333333333,9.75,6.05,4.475,9.208333333333334,0.45,2.393162393162393,6.946428571428571,4.417307692307692,2.541666666666667,2.9749999999999996,5.089285714285714,3.75,1.8916666666666666,6.45,2.975,3.825,4.375,2.513157894736842,5.111111111111111,5.0,5.071428571428571,3.666666666666667,8.35,4.35,4.6,5.469444444444444,7.7,2.916666666666667,4.6937229437229435,2.0883116883116886,2.425,7.1,4.6,2.7750000000000004,2.0857142857142854,2.325,0.0
